task_id,cmd_vx,top_gait,second_gait,metric,direction,top_value,second_value,raw_top_minus_second,favorable_gap_for_top
stepping_stones_easy_bound_highspeed,1.70,pacing,pronking,score_survival,higher_better,1.000000,0.999600,0.000400,0.000400
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,neutral_score,higher_better,0.565577,0.537082,0.028495,0.028495
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,weighted_metric_reward_mean,higher_better,0.715638,0.676105,0.039533,0.039533
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,vx_abs_error_mean,lower_better,0.587498,0.687500,-0.100002,0.100002
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,fall_rate,lower_better,0.025000,0.020000,0.005000,-0.005000
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,lateral_offset_abs_mean,lower_better,1.770106,1.319588,0.450518,-0.450518
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,scuffing_ratio_mean,lower_better,0.101750,0.113167,-0.011417,0.011417
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,foot_impact_vel_sum_mean,lower_better,0.569065,0.646136,-0.077071,0.077071
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,transport_cost_proxy,lower_better,211.345583,228.842888,-17.497305,17.497305
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,score_progress,higher_better,0.486299,0.430296,0.056003,0.056003
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,score_lateral_drift,higher_better,0.187230,0.357168,-0.169938,-0.169938
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,score_energy,higher_better,0.388428,0.386502,0.001926,0.001926
stepping_stones_easy_bound_highspeed,2.00,pacing,trotting,score_survival,higher_better,1.000000,0.999800,0.000200,0.000200
