candidate,task_id,condition,cmd_vx,rank,gait,score,soft_prob
robustness,push_lateral_pace_recovery,push_lateral,1.8,1,trotting,0.6793965126683073,0.3888193949732532
robustness,push_lateral_pace_recovery,push_lateral,1.8,2,pronking,0.6709557020264427,0.2934638904321789
robustness,push_lateral_pace_recovery,push_lateral,1.8,3,pacing,0.6594999398642438,0.20031594839911443
robustness,push_lateral_pace_recovery,push_lateral,1.8,4,bounding,0.6434708670145127,0.11740076619545349
robustness,ramp_up_trot_robustness,ramp_up,0.5,1,pronking,0.7805069792955144,0.3907894161696112
robustness,ramp_up_trot_robustness,ramp_up,0.5,2,pacing,0.7781015155246345,0.3606784032736578
robustness,ramp_up_trot_robustness,ramp_up,0.5,3,trotting,0.7608222904334951,0.20275787677414253
robustness,ramp_up_trot_robustness,ramp_up,0.5,4,bounding,0.7161736006023197,0.04577430378258845
robustness,ramp_up_trot_robustness,ramp_up,1.0,1,pronking,0.7450624314568391,0.3801149623531559
robustness,ramp_up_trot_robustness,ramp_up,1.0,2,pacing,0.7358286849912105,0.27941054581613867
robustness,ramp_up_trot_robustness,ramp_up,1.0,3,trotting,0.729175321182342,0.22383370706739714
robustness,ramp_up_trot_robustness,ramp_up,1.0,4,bounding,0.7096211891621351,0.11664078476330829
robustness,ramp_up_trot_robustness,ramp_up,1.5,1,pronking,0.7039243143385019,0.4272311755363961
robustness,ramp_up_trot_robustness,ramp_up,1.5,2,trotting,0.6892469883025663,0.26193098688534994
robustness,ramp_up_trot_robustness,ramp_up,1.5,3,pacing,0.6850867944095677,0.22801420518616058
robustness,ramp_up_trot_robustness,ramp_up,1.5,4,bounding,0.654705959576659,0.0828236323920935
robustness,ramp_up_trot_robustness,ramp_up,2.0,1,pronking,0.6364524466235463,0.4755000080322273
robustness,ramp_up_trot_robustness,ramp_up,2.0,2,trotting,0.623606460608118,0.3098744963527168
robustness,ramp_up_trot_robustness,ramp_up,2.0,3,pacing,0.6039063770899443,0.1606933538555342
robustness,ramp_up_trot_robustness,ramp_up,2.0,4,bounding,0.5711532383248572,0.053932141759521664
robustness,rough_slope_trot_robustness,rough_slope,0.5,1,trotting,0.754657906048545,0.3578448925105402
robustness,rough_slope_trot_robustness,rough_slope,0.5,2,pronking,0.7532600667176208,0.3415537249066273
robustness,rough_slope_trot_robustness,rough_slope,0.5,3,pacing,0.7431625631615155,0.2439398150259353
robustness,rough_slope_trot_robustness,rough_slope,0.5,4,bounding,0.6993678019086763,0.05666156755689721
robustness,rough_slope_trot_robustness,rough_slope,1.0,1,pronking,0.7195255637350605,0.35281498420676644
robustness,rough_slope_trot_robustness,rough_slope,1.0,2,trotting,0.7113364912811818,0.268533242284415
robustness,rough_slope_trot_robustness,rough_slope,1.0,3,pacing,0.7087635922177535,0.24646288435105124
robustness,rough_slope_trot_robustness,rough_slope,1.0,4,bounding,0.6900742062163062,0.13218888915776736
robustness,rough_slope_trot_robustness,rough_slope,1.5,1,pronking,0.6469599090637714,0.32929120004710755
robustness,rough_slope_trot_robustness,rough_slope,1.5,2,pacing,0.6446365062904552,0.3047512002126405
robustness,rough_slope_trot_robustness,rough_slope,1.5,3,trotting,0.6338650539699124,0.21282011875505086
robustness,rough_slope_trot_robustness,rough_slope,1.5,4,bounding,0.6239917176828635,0.15313748098520102
robustness,rough_slope_trot_robustness,rough_slope,2.0,1,trotting,0.5648198124112153,0.5119834430122591
robustness,rough_slope_trot_robustness,rough_slope,2.0,2,pacing,0.5523485004659591,0.33784320201169765
robustness,rough_slope_trot_robustness,rough_slope,2.0,3,bounding,0.5114527646967066,0.08643482797650599
robustness,rough_slope_trot_robustness,rough_slope,2.0,4,pronking,0.5023147197879427,0.0637385269995373
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,1,pronking,0.5543637140010431,0.3037843356086754
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,2,pacing,0.5514336197932319,0.2755166935431211
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,3,bounding,0.5472859795379444,0.2399411164715296
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,4,trotting,0.5387889226156521,0.18075785437667397
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,1,pacing,0.5407339869203364,0.48441398904889493
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,2,trotting,0.5164770426425508,0.21580496956542347
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,3,bounding,0.5152761012134028,0.2073366291480868
robustness,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,4,pronking,0.49104401566148775,0.0924444122375949
contact_safety,flat_trot_efficiency,flat,0.5,1,pacing,0.7901003234948103,0.7764052848629358
contact_safety,flat_trot_efficiency,flat,0.5,2,trotting,0.7266639572210037,0.09370289785305991
contact_safety,flat_trot_efficiency,flat,0.5,3,pronking,0.7177736211568118,0.06967102911557571
contact_safety,flat_trot_efficiency,flat,0.5,4,bounding,0.7134006120837652,0.06022078816842859
contact_safety,flat_trot_efficiency,flat,1.0,1,pacing,0.7468960220424029,0.514139932591444
contact_safety,flat_trot_efficiency,flat,1.0,2,trotting,0.7164842955768109,0.18656342380252744
contact_safety,flat_trot_efficiency,flat,1.0,3,pronking,0.7100686805752608,0.15064369638129463
contact_safety,flat_trot_efficiency,flat,1.0,4,bounding,0.7096695891939677,0.14865294722473396
contact_safety,flat_trot_efficiency,flat,1.5,1,pacing,0.6894302583657779,0.36923999487538917
contact_safety,flat_trot_efficiency,flat,1.5,2,trotting,0.6799069750194368,0.26880979481574335
contact_safety,flat_trot_efficiency,flat,1.5,3,pronking,0.6712640588673261,0.20152366969589877
contact_safety,flat_trot_efficiency,flat,1.5,4,bounding,0.6644219380158645,0.16042654061296857
contact_safety,flat_trot_efficiency,flat,2.0,1,pacing,0.6444651345794017,0.33952634618448496
contact_safety,flat_trot_efficiency,flat,2.0,2,trotting,0.6398360955027435,0.2909787511296411
contact_safety,flat_trot_efficiency,flat,2.0,3,pronking,0.6286947487638547,0.20071219568533863
contact_safety,flat_trot_efficiency,flat,2.0,4,bounding,0.6234969520798097,0.16878270700053527
contact_safety,push_lateral_pace_recovery,push_lateral,1.2,1,pacing,0.7110933445394039,0.3606665051743136
contact_safety,push_lateral_pace_recovery,push_lateral,1.2,2,trotting,0.7053889930821383,0.2982132022239274
contact_safety,push_lateral_pace_recovery,push_lateral,1.2,3,bounding,0.6891260382647698,0.17341892177156312
contact_safety,push_lateral_pace_recovery,push_lateral,1.2,4,pronking,0.6881202781429658,0.16770137083019587
contact_safety,push_lateral_pace_recovery,push_lateral,1.5,1,trotting,0.6879232769975295,0.3299905638319703
contact_safety,push_lateral_pace_recovery,push_lateral,1.5,2,pacing,0.6877364369539115,0.32794176869257863
contact_safety,push_lateral_pace_recovery,push_lateral,1.5,3,pronking,0.6764723451091693,0.2252850141175888
contact_safety,push_lateral_pace_recovery,push_lateral,1.5,4,bounding,0.6567607915172211,0.11678265335786236
contact_safety,push_lateral_pace_recovery,push_lateral,1.8,1,trotting,0.656245506268281,0.3159249879409432
contact_safety,push_lateral_pace_recovery,push_lateral,1.8,2,pacing,0.655546106856603,0.3086449205614633
contact_safety,push_lateral_pace_recovery,push_lateral,1.8,3,pronking,0.6419931557889167,0.19645363635409516
contact_safety,push_lateral_pace_recovery,push_lateral,1.8,4,bounding,0.6391979899543982,0.1789764551434984
contact_safety,ramp_up_trot_robustness,ramp_up,0.5,1,pacing,0.8243748574589307,0.7623168927745728
contact_safety,ramp_up_trot_robustness,ramp_up,0.5,2,trotting,0.7626956120419961,0.0975521875559056
contact_safety,ramp_up_trot_robustness,ramp_up,0.5,3,pronking,0.7607855919175424,0.09153488480361888
contact_safety,ramp_up_trot_robustness,ramp_up,0.5,4,bounding,0.7417902455020411,0.04859603486590261
contact_safety,ramp_up_trot_robustness,ramp_up,1.0,1,pacing,0.7632869890676095,0.4508243518260232
contact_safety,ramp_up_trot_robustness,ramp_up,1.0,2,trotting,0.740032261208846,0.20766375404374385
contact_safety,ramp_up_trot_robustness,ramp_up,1.0,3,pronking,0.740004320614613,0.20747043579187674
contact_safety,ramp_up_trot_robustness,ramp_up,1.0,4,bounding,0.7268991293528905,0.13404145833835623
contact_safety,ramp_up_trot_robustness,ramp_up,1.5,1,pacing,0.7236597210168838,0.46209836226472756
contact_safety,ramp_up_trot_robustness,ramp_up,1.5,2,trotting,0.7057737066768683,0.2545703687366613
contact_safety,ramp_up_trot_robustness,ramp_up,1.5,3,pronking,0.695586167734403,0.181270912128403
contact_safety,ramp_up_trot_robustness,ramp_up,1.5,4,bounding,0.6783533189732295,0.10206035687020819
contact_safety,ramp_up_trot_robustness,ramp_up,2.0,1,pronking,0.6413051541034993,0.31212054314194176
contact_safety,ramp_up_trot_robustness,ramp_up,2.0,2,pacing,0.6403297254672418,0.3021353759115406
contact_safety,ramp_up_trot_robustness,ramp_up,2.0,3,trotting,0.6387813395032518,0.28693689572928005
contact_safety,ramp_up_trot_robustness,ramp_up,2.0,4,bounding,0.6067985798303898,0.09880718521723754
contact_safety,rough_slope_trot_robustness,rough_slope,0.5,1,pacing,0.7885283306527596,0.5495262071378048
contact_safety,rough_slope_trot_robustness,rough_slope,0.5,2,trotting,0.7613661894718041,0.2222164172240805
contact_safety,rough_slope_trot_robustness,rough_slope,0.5,3,pronking,0.748526160676892,0.14484305827749555
contact_safety,rough_slope_trot_robustness,rough_slope,0.5,4,bounding,0.7319712356592601,0.08341431736061924
contact_safety,rough_slope_trot_robustness,rough_slope,1.0,1,pacing,0.7470383386772412,0.4457298169911445
contact_safety,rough_slope_trot_robustness,rough_slope,1.0,2,trotting,0.7264432945503638,0.22435093635734157
contact_safety,rough_slope_trot_robustness,rough_slope,1.0,3,bounding,0.72009706434149,0.18157531005845612
contact_safety,rough_slope_trot_robustness,rough_slope,1.0,4,pronking,0.7140329535763997,0.14834393659305775
contact_safety,rough_slope_trot_robustness,rough_slope,1.5,1,pacing,0.6761240366559762,0.4098316339835715
contact_safety,rough_slope_trot_robustness,rough_slope,1.5,2,pronking,0.6613779744849755,0.25068847199457966
contact_safety,rough_slope_trot_robustness,rough_slope,1.5,3,trotting,0.6535510286115683,0.1931202061960713
contact_safety,rough_slope_trot_robustness,rough_slope,1.5,4,bounding,0.6452336600766733,0.14635968782577757
contact_safety,rough_slope_trot_robustness,rough_slope,2.0,1,pacing,0.5914125135598275,0.46657904049098253
contact_safety,rough_slope_trot_robustness,rough_slope,2.0,2,trotting,0.5780285868220605,0.29865723592634374
contact_safety,rough_slope_trot_robustness,rough_slope,2.0,3,bounding,0.5594978708773851,0.16103246911603003
contact_safety,rough_slope_trot_robustness,rough_slope,2.0,4,pronking,0.5360624939776385,0.07373125446664379
contact_safety,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,1,pacing,0.5784644915256649,0.3556331214343221
contact_safety,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,2,bounding,0.5743293921534831,0.30984215672554494
contact_safety,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,3,pronking,0.5558345497800754,0.16726313819843514
contact_safety,stepping_stones_easy_bound_highspeed,stepping_stones_easy,1.7,4,trotting,0.5558342709564246,0.16726158364169785
contact_safety,stepping_stones_easy_bound_highspeed,stepping_stones_easy,2.0,1,pacing,0.5767359332862095,0.5615228332136405
